fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.8936880330070943	1.9202837944030762	0.827682375907898	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.9013799989248245	1.7338321208953857	0.8367605209350586	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.8797477494580619	1.58223295211792	0.8067050576210022	None
1089_134686_000009_000008	5.77	2.0	None	0.8783473422983048	1.6193777322769165	0.842184841632843	None
1089_134686_000015_000003	5.57	2.0	None	0.8796711020055892	1.6552401781082153	0.7301108837127686	None
