fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.8035602032626509	1.3860477209091187	0.835800051689148	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.8748194798007682	1.3697611093521118	0.8720490336418152	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.7862028424369895	1.310768485069275	0.8754444122314453	None
1089_134686_000009_000008	5.77	2.0	None	0.8020112771675145	1.2490718364715576	0.8733676671981812	None
1089_134686_000015_000003	5.57	2.0	None	0.7337333298750104	1.2168432474136353	0.8239930868148804	None
