fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.8383041229756389	1.505947470664978	0.7909108400344849	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.8716535602984838	1.3601902723312378	0.8061755299568176	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.8252384463032633	1.3831151723861694	0.8354305028915405	None
1089_134686_000009_000008	5.77	2.0	None	0.7880452162712501	1.2788262367248535	0.8006889224052429	None
1089_134686_000015_000003	5.57	2.0	None	0.8564246984545318	1.5108091831207275	0.8276386260986328	None
