fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.8968680562712844	1.9804176092147827	0.9163721799850464	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.9147660489679623	1.726984977722168	0.9173978567123413	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.897389128811198	1.8641749620437622	0.9124915599822998	None
1089_134686_000009_000008	5.77	2.0	None	0.8916644549406886	1.6297106742858887	0.9226868152618408	None
1089_134686_000015_000003	5.57	2.0	None	0.9084055358623421	2.0197231769561768	0.9069879651069641	None
