fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.8731198260632381	1.7461950778961182	0.9520024657249451	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.9327938352492026	2.1846752166748047	0.9610761404037476	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.9022719233766064	1.684098720550537	0.9673833250999451	None
1089_134686_000009_000008	5.77	2.0	None	0.8802603284412777	1.4754588603973389	0.9534565210342407	None
1089_134686_000015_000003	5.57	2.0	None	0.8929484560776773	1.6579382419586182	0.94097501039505	None
