fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.7716967073775023	1.313081979751587	0.7912282347679138	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.8186259518012856	1.304335117340088	0.657785177230835	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.8125204162910936	1.224493384361267	0.7386420965194702	None
1089_134686_000009_000008	5.77	2.0	None	0.7627478426542501	1.1917445659637451	0.7434096932411194	None
1089_134686_000015_000003	5.57	2.0	None	0.7493780896293198	1.225131630897522	0.7375673055648804	None
