fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.8997189633841343	2.0148813724517822	0.9351012706756592	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.9244992445125771	1.8282612562179565	0.9513781666755676	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.9022523570930427	1.9326786994934082	0.9366809725761414	None
1089_134686_000009_000008	5.77	2.0	None	0.889605647983766	1.7201688289642334	0.9543583393096924	None
1089_134686_000015_000003	5.57	2.0	None	0.9152546981512041	2.154472827911377	0.9507006406784058	None
