fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	1.0	None	0.940042205757102	2.8980185985565186	0.9557778239250183	None
1089_134686_000007_000005	5.31	1.0	None	0.9534030183579968	2.7654004096984863	0.9581632614135742	None
1089_134686_000009_000003	6.03	1.0	None	0.9439092449212395	2.7892227172851562	0.9763249158859253	None
1089_134686_000009_000008	5.77	1.0	None	0.9303083402451324	2.662576198577881	0.9726441502571106	None
1089_134686_000015_000003	5.57	1.0	None	0.944554229333361	2.86004638671875	0.9588297009468079	None
