fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	1.0	None	0.9402951776597305	2.7952466011047363	0.967721700668335	None
1089_134686_000007_000005	5.31	1.0	None	0.9564240742528372	2.7991206645965576	0.979200005531311	None
1089_134686_000009_000003	6.03	1.0	None	0.9450865447304837	2.760100841522217	0.9787815809249878	None
1089_134686_000009_000008	5.77	1.0	None	0.9446477201217626	2.7855446338653564	0.9744037985801697	None
1089_134686_000015_000003	5.57	1.0	None	0.9468131253334718	2.780935525894165	0.966570258140564	None
