fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.9115484647537487	2.0463078022003174	0.9293866157531738	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.9265108164224181	2.011648178100586	0.9377540946006775	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.9100886476921302	2.0538218021392822	0.9433184266090393	None
1089_134686_000009_000008	5.77	2.0	None	0.9020707764842675	1.8063979148864746	0.9307482838630676	None
1089_134686_000015_000003	5.57	2.0	None	0.9203670740318031	2.2316102981567383	0.9375554323196411	None
