fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.6166090686471963	1.0966161489486694	0.661381721496582	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.5456424290463411	1.0701738595962524	0.6251745223999023	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.7738969245203017	1.148841381072998	0.7385699152946472	None
1089_134686_000009_000008	5.77	2.0	None	0.5740242231502293	1.0678250789642334	0.6452731490135193	None
1089_134686_000015_000003	5.57	2.0	None	0.7005761993556484	1.1633721590042114	0.7664624452590942	None
