fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.9057986462782821	2.2684967517852783	0.9350923299789429	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.9238497121334055	2.191354990005493	0.9642953276634216	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.910784842596052	2.1382944583892822	0.9562978744506836	None
1089_134686_000009_000008	5.77	2.0	None	0.9093465658946622	1.880194067955017	0.9344067573547363	None
1089_134686_000015_000003	5.57	2.0	None	0.9150083288913406	1.9866396188735962	0.9214368462562561	None
