fid	duration_s	comp_ratio	wer	stoi	pesq	secs	utmos
1089_134686_000002_000001	5.97	2.0	None	0.9004078472994561	2.211266040802002	0.8505058884620667	None
1089_134686_000007_000005	5.31	1.9953051643192488	None	0.9180286426608549	1.9055562019348145	0.8595220446586609	None
1089_134686_000009_000003	6.03	1.9958677685950412	None	0.892549305031168	1.7654519081115723	0.8639342784881592	None
1089_134686_000009_000008	5.77	2.0	None	0.892316992173611	1.8020005226135254	0.8940556049346924	None
1089_134686_000015_000003	5.57	2.0	None	0.8947458414557204	1.6715824604034424	0.8105334639549255	None
